Sakoen,Pronunciation,Part of speech,English
ab,/ab/,det.,enough
abih,/abih/ [abi],v.,interfere; intervene
abksa,/abksa/,nin.,mat
abog,/aboɣ/,v.,emit
abshetre,/abʃetɾe/ [abʃetɯe],nin.,code
absivhat,/absiɸat/,nin.,property
abvhirush,/abɸiɾuʃ/,nin.,tone; pitch
abvho,/abɸo/,part.,undefined
ac'imne,/aʧimne/,nin.,breakfast
ac'orpii,/aʧoɾpiɟ/,nin.,public
ach,/aʧ/,nin.,issue; concern; problem; controversy
achba,/aʧba/,nin.,ass
achgulu,/aʧɣuʎu/,v.,drip; splash
achlaksu,/aʧʎaksu/,v.,fly
achriksa,/aʧɾiksa/ [aʧɯiksa],v.,record
achriksad,/aʧɾiksad/ [aʧɯiksad],nin.,record
achtol,/aʧtoʎ/,v.,change; modify
achtolan,/aʧtoʎan/,nin.,change
achzi,/aʧθi/,adj.,reverse
achzian,/aʧθian/,nin.,reversal
ad,/ad/,v.,try (attempt); attempt
adim,/adim/,num.,hundred
adiz,/adiθ/ [adis],adj.,dumb (speechless)
adksu,/adksu/,pron.,everything
adom,/adom/,v.,yank
adponksi,/adponksi/,nin.,game; sport
adze,/adθe/,nan.,student
agarnut,/aɣaɾnut/,prep.,against
agbovhis,/aɣboɸis/,nin.,corpse
agdara,/aɣdaɾa/,v.,count
agdi,/aɣdi/,adj.,wild
agdonon,/aɣdonon/,nan.,fish
agkettis,/aɣkettis/ [aɣketis],v.,vanish; disappear
agksi,/aɣksi/,nin.,sky; heaven
agshavhja,/aɣʃaɸɟa/,nin.,peninsula
ah,/ah/ [a],nin.,tear
ah,/ah/ [a],part.,undefined
ahkseksi,/ahkseksi/ [akseksi],v.,shout; yell; exclaim; proclaim
ahksu,/ahksu/ [aksu],nin.,bureaucracy
ahku,/ahku/ [aku],conj.,while
ahottom,/ahottom/ [ahotom],nin.,vent
ahsavhkso,/ahsaɸkso/ [asaɸkso],nin.,smoke; dust; steam
ahsuvhul,/ahsuɸuʎ/ [asuɸuʎ],adj.,even; flat; regular; stable; smooth; sleek
ahtumkod,/ahtumkod/ [atumkod],v.,chuckle
ahvhuzgum,/ahɸuθɣum/ [aɸuθɣum],adj.,awake
ai,/aɟ/,nin.,magic
ai,/aɟ/,part.,undefined
aida,/aida/,nin.,soul
aimus,/aɟmus/,adj.,safe
ajapap,/aɟapap/,adj.,subtle
ajapapob,/aɟapapob/,nin.,subtlety
ajeb,/aɟeb/,v.,post
ajetta,/aɟetta/ [aɟeta],nin.,bat (club)
ak,/ak/,interj.,okay
akaizo,/akaɟθo/,nin.,shirt; blouse
akig,/akiɣ/,v.,lick
aklaus,/akʎaus/,v.,masturbate
akor,/akoɾ/,v.,exaggerate
al,/aʎ/,det.,that
al,/aʎ/,pron.,that
alepod,/aʎepod/,adj.,gross
algu,/aʎɣu/,nin.,cove
alish,/aʎiʃ/,nin.,money; wealth
alksutom,/aʎksutom/,nin.,transport
alomdos,/aʎomdos/,v.,achieve; accomplish
alriga,/aʎɾiɣa/ [aʎɯiɣa],nin.,milk
alshei,/aʎʃeɟ/,v.,mean (intend)
am,/am/,nin.,lightning
amis,/amis/,v.,escort
amju,/amɟu/,v.,withdraw; take out
amko,/amko/,v.,indicate; express
amkobu,/amkobu/,nin.,rumor
amksoven,/amksoven/,nin.,needle; pin
amog,/amoɣ/,adj.,comic
amrajep,/amɾaɟep/ [amɯaɟep],v.,complement
amsukud,/amsukud/,nin.,eye; eyeball
amsukud laudav,/amsukud ʎaudav/ [amsukud ʎaudaɸ],nin.,eyelid
amsukud zemem,/amsukud θemem/,nin.,eyelash
amuigu,/amuɟɣu/,v.,inherit
an,/an/,nin.,bottom (lowest part); basement
anbame,/anbame/,nin.,nail
anelob,/aneʎob/,v.,complicate
aneloba,/aneʎoba/,adj.,complex
ango,/anɣo/,v.,oblige; put (cause to be)
anonksi,/anonksi/,nin.,ornament
antonav,/antonav/,v.,import
anzuwad,/anθuwad/,nin.,bathroom
apbus,/apbus/,nin.,credit (recognition)
apksaje,/apksaɟe/,nin.,dish; plate; platter
apkse,/apkse/,v.,influence; persuade
apksovu,/apksovu/,nin.,chord
apno,/apno/,v.,value
apno,/apno/,nin.,value
apvuz,/apvuθ/ [apvus],v.,mention
ar,/aɾ/,num.,five
ardil,/aɾdiʎ/,nin.,wedge
arevud,/aɾevud/,nin.,campaign
arilko,/aɾiʎko/,nin.,temple; church; shrine
arip,/aɾip/,nin.,fuel
armit,/aɾmit/,nin.,architecture
arobtan,/aɾobtan/,v.,guess
arobtan,/aɾobtan/,nin.,guess
aros,/aɾos/,nin.,food; nutrition; cuisine
arpuav,/aɾpuav/ [aɾpuaɸ],nin.,skill; talent
arpuavo,/aɾpuavo/,adj.,skilled
artem,/aɾtem/,nin.,scissors
arvhevi,/aɾɸevi/,nin.,fluid; liquid
as,/as/,det.,every; each
asalkso,/asaʎkso/,adj.,jealous
asc'un,/asʧun/,nin.,chasm
ases,/ases/,adv.,always; all the time; forever
ash,/aʃ/,v.,whistle
ashbut,/aʃbut/,adj.,evil
ashedksu,/aʃedksu/,nin.,range; radius; extent
ashnonkse,/aʃnonkse/,v.,operate
ashosub,/aʃosub/,v.,stare; glare
ashvic'ai,/aʃviʧaɟ/,nan.,doctor
asksaish,/asksaiʃ/,nan.,emperor
asosme,/asosme/,nin.,resort
aspoz,/aspoθ/ [aspos],v.,defeat; beat
aspu,/aspu/,v.,nod
asshi,/asʃi/,part.,undefined
asusshar,/asusʃaɾ/,v.,tie; attach
asvholib,/asɸoʎib/,nan.,ghost
asvoek,/asvoek/,v.,hop
at,/at/,prep.,beyond
atc'a,/atʧa/,nin.,basil
atgai,/atɣaɟ/,v.,share
atgeivhir,/atɣeɟɸiɾ/,nin.,pump
atmarob,/atmaɾob/,nin.,hill; slope; slant
atmova,/atmova/,nin.,trend
atnisan,/atnisan/,v.,steal; rob
atpalu,/atpaʎu/,nin.,bar (pub)
atur,/atuɾ/,v.,swing; sway
atvemu,/atvemu/,nin.,recipe
atzoge,/atθoɣe/,nin.,yogurt
av,/av/,nin.,recreation
avahne,/avahne/ [avane],nin.,rod; shaft; bar; pole; cane; stake
avanol,/avanoʎ/,v.,control
avanolan,/avanoʎan/,nin.,control
avash,/avaʃ/,nin.,linguistics
avbid,/avbid/,v.,convince
avhbiruz,/aɸbiɾuθ/ [aɸbiɾus],v.,sleep
avhbiruz,/aɸbiɾuθ/ [aɸbiɾus],nin.,sleep
avhense,/aɸense/,nin.,time; age; moment; tense
avhit,/aɸit/,adj.,thin (slender); slim
avhkso,/aɸkso/,nin.,tower
avhnes,/aɸnes/,adj.,massive; enormous
avhnit,/aɸnit/,adj.,tight; tense; stiff
avhnitob,/aɸnitob/,nin.,tension
avhosh,/aɸoʃ/,nin.,friction
avhuhton,/aɸuhton/ [aɸuton],nin.,trivia
avhui,/aɸuɟ/,nin.,jam
avksuli,/avksuʎi/,nin.,hell
avlokso,/avʎokso/,nin.,barrier; hurdle
avpibeg,/avpibeɣ/,v.,limp
avse,/avse/,nin.,posture (bodily position)
avtu,/avtu/,part.,undefined
avum,/avum/,v.,escape; flee; dodge
avumesh,/avumeʃ/,v.,explain; excuse; discuss; describe; pardon; define; interpret; translate
avumeshan,/avumeʃan/,nin.,description
avumeshan,/avumeʃan/,nin.,explanation
az,/aθ/ [as],nin.,forest
azai,/aθaɟ/,adj.,wide; broad
azajob,/aθaɟob/,nin.,width
